year, q, contract, spot
2017, 1, 100.0, 100.0
2017, 2, 101.0, 100.0
2017, 3, 100.0, 103.0
2017, 4, 100.0, 104.0
2018, 1, 101.0, 103.0
2018, 2, 102.0, 105.0
2018, 3, 103.0, 107.0
2018, 4, 104.0, 112.0
2019, 1, 105.0, 105.0
2019, 2, 104.0, 105.0
2019, 3, 106.0, 109.0
2019, 4, 107.0, 109.0
2020, 1, 106.0, 107.0
2020, 2, 105.0, 106.0
2020, 3, 104.0, 107.0
2020, 4, 104.0, 108.0
2021, 1, 108.0, 109.0
2021, 2, 109.0, 112.0
2021, 3, 109.0, 113.0
2021, 4, 110.0, 119.0
2022, 1, 116.0, 121.0
2022, 2, 124.0, 134.0
2022, 3, 129.0, 140.0
2022, 4, 128.0, 137.0
2023, 1, 127.5, 130.5
2023, 2, 127.0, 127.0
2023, 3, 128.0, 125.4
2023, 4, 128.1, 125.4
